concept,grasp_rating,hold_rating
videocassette,6.3784,6.7297
garlic,6.3714,6.5429
okra,6.3684,6.5789
match,6.3684,6.5789
chalk,6.3684,6.6842
jeans,6.3684,6.5
eggbeater,6.3684,6.5
coffee_pot,6.3611,6.305600000000001
corkscrew,6.3611,6.5278
railing,6.3611,5.8889
bread,6.3611,6.6667
joystick,6.358999999999999,6.5897
mop,6.358999999999999,6.3846
cassette,6.358999999999999,6.512800000000001
doll,6.351400000000001,6.6216
potato,6.351400000000001,6.5676
croissant,6.351400000000001,6.5135
lettuce,6.349999999999999,6.375
tray,6.3429,6.4571
pliers,6.342099999999999,6.447399999999999
curtain,6.3333,6.194399999999999
marshmallow,6.3333,6.6667
basket,6.3333,6.358999999999999
pepper1,6.325,6.425
headlamp,6.3243,6.459500000000001
bungee,6.3243,6.4054
fudge,6.3158,6.5
ready_meal,6.3158,6.5263
suspenders,6.3158,6.6316
celery,6.3158,6.552600000000001
sushi,6.3158,6.4211
puck,6.3077,6.4103
pretzel,6.3077,6.6154
scissors,6.305600000000001,6.5278
necklace,6.305600000000001,6.5278
retainer,6.303,6.6061000000000005
brownie,6.2973,6.6757
kebab,6.2973,6.351400000000001
grapefruit,6.2973,6.2973
hood,6.2941,6.2353
sewing_kit,6.2941,6.441199999999999
corn,6.2895,6.447399999999999
bottle,6.2821,6.3333
stiletto,6.2778,6.444399999999999
dress,6.2778,6.3333
cookie,6.2778,6.6389
mask,6.2778,6.555600000000001
oyster,6.275000000000001,6.400000000000001
lingerie,6.2703,6.5676
rhubarb,6.2703,6.3784
blanket,6.2703,6.351400000000001
paperclip,6.2571,6.6857
mascara,6.2564,6.4359
plum,6.2564,6.5641
walker1,6.25,6.1389
earring,6.25,6.599999999999999
floss,6.25,6.3611
nacho,6.243199999999999,6.3243
syringe,6.243199999999999,6.459500000000001
granola,6.243199999999999,6.2703
plastic_film,6.243199999999999,6.243199999999999
toast,6.243199999999999,6.5676
wrapping_paper,6.243199999999999,6.3243
avocado,6.243199999999999,6.5676
slingshot,6.2368,6.4211
beet,6.2368,6.5
blueberry,6.2368,6.6316
boa,6.2286,6.5429
tamale,6.2286,6.4286
lantern,6.2286,6.2
bullet,6.2222,6.3889
tag,6.2222,6.444399999999999
teapot,6.2222,6.25
aluminum_foil,6.2162,6.351400000000001
pill,6.2105,6.7105
iron,6.2105,6.5
coin,6.2105,6.6053
squeegee,6.2105,6.2632
brace,6.2105,6.3684
zucchini,6.205099999999999,6.4359
mushroom,6.2,6.485699999999999
handcuff,6.2,6.485699999999999
mistletoe,6.1892,6.351400000000001
kale,6.1892,6.540499999999999
coat,6.1892,6.3784
candle,6.1892,6.4054
pot,6.1892,6.2703
strainer,6.1892,6.3243
binoculars,6.1892,6.3784
taco,6.1842,6.2632
eggplant,6.1842,6.4211
wire_cutters,6.1795,6.3333
leek,6.1765,6.6176
valve,6.171400000000001,5.4571
shoe,6.171400000000001,6.400000000000001
hatbox,6.171400000000001,6.3429
ski_pole,6.162200000000001,6.2703
flag,6.157900000000001,6.2632
thermos,6.157900000000001,6.3158
wire,6.157900000000001,6.4737
bolt,6.157900000000001,6.3158
tablecloth,6.1538,6.3333
bucket,6.1429,5.9714
poster,6.1429,6.3429
dustpan,6.1351,6.351400000000001
suit,6.1351,6.2162
pancake,6.1316,6.5263
radish,6.1316,6.4737
bowl,6.1316,6.447399999999999
record,6.1316,6.4737
nose,6.1316,5.4737
overalls,6.1111,6.305600000000001
camcorder,6.1081,6.351400000000001
wrench,6.1053,6.3158
helmet,6.1026,6.3846
chip,6.1026,6.1795
marijuana,6.0857,6.2286
kimono,6.0833,5.9722
coverall,6.0833,6.2778
cotton_candy,6.0811,6.2703
pan,6.075,6.25
cauliflower,6.075,6.275000000000001
fern,6.057100000000001,5.8857
mosquito_net,6.057100000000001,5.7714
velcro,6.055600000000001,6.444399999999999
ball,6.052600000000001,6.5
pocketknife,6.0278,6.1667
spareribs,6.0278,6.2222
thumbtack,6.0278,6.2222
pantyhose,6.0278,6.4167
kite,6.027,6.027
camera2,6.027,6.4324
jar,6.027,6.243199999999999
steak,6.027,6.1892
snail,6.0,6.157900000000001
map,6.0,5.8718
pizza,5.974999999999999,6.099999999999999
canvas,5.9744,6.076899999999999
sandpaper,5.9744,6.205099999999999
snorkel,5.9737,6.2368
grenade,5.9737,5.842099999999999
life_jacket,5.9737,6.3158
bracket,5.9706,6.1176
candelabra,5.95,5.849999999999999
smoke_alarm,5.9487,5.923100000000001
blazer,5.945899999999999,6.2973
uniform,5.945899999999999,6.3784
football_helmet,5.925,6.150000000000001
lampshade,5.925,6.175
cheese,5.9211,6.1316
artichoke,5.9211,6.342099999999999
doormat,5.9189,6.0
papaya,5.9189,6.243199999999999
chin,5.9167,5.5833
boot,5.9167,6.2778
baby,5.9167,5.9722
padlock,5.9143,6.0
backpack,5.8974,6.076899999999999
revolver,5.8974,6.0256
shovel,5.8974,6.0513
crutch,5.8974,5.8718
guitar,5.8974,6.0513
ashtray,5.8947,6.1842
gun,5.8947,6.0263
face_mask,5.8947,6.0789
lamp,5.8947,5.7895
cabbage,5.8947,6.1842
sickle,5.8919,5.945899999999999
sword,5.8824,5.3824
nail_polish,5.8718,6.358999999999999
rice,5.8718,6.1026
pie,5.8684,6.0789
horseshoe,5.8684,6.1316
asparagus,5.8684,6.1316
camera1,5.8684,6.2368
emerald,5.842099999999999,6.157900000000001
crank,5.842099999999999,5.2632
blowtorch,5.837799999999999,5.973
pogo_stick,5.837799999999999,6.054100000000001
burrito,5.8333,6.1389
hourglass,5.8333,5.9167
defibrillator,5.8205,5.8462
sim_card,5.8158,6.2105
tarp,5.8158,5.3158
drill,5.8,5.8571
meat,5.8,5.7714
bamboo,5.8,5.775000000000001
caterpillar,5.7941,5.9118
crowbar,5.7838,5.8649
towel_rack,5.7838,5.2703
coconut,5.7838,6.2703
clarinet,5.7778,6.0278
balloon,5.7778,6.305600000000001
milkshake,5.7632,6.0263
melon,5.7632,6.0263
mandolin,5.7632,5.947399999999999
boxing_gloves,5.7632,6.2632
violin,5.7632,5.8947
chalice,5.7222,5.694399999999999
trumpet,5.7179,5.7692000000000005
elbow,5.7105,5.7368
blind,5.7027,5.1622
tuxedo,5.6923,6.205099999999999
clay,5.6857,6.0
cymbal,5.6842,5.6053
flashbulb,5.6757,5.9189
rollerblade,5.6757,5.756800000000001
oar,5.6757,5.4324
wheelbarrow,5.6667,4.3846
hay,5.657900000000001,5.3947
sundae,5.657900000000001,6.052600000000001
dough,5.6571,5.714299999999999
axe,5.641000000000001,5.4103
bow2,5.6316,5.6842
rifle,5.6053,5.447399999999999
snowboard,5.6053,5.5789
iceskate,5.6053,5.7895
dolly,5.5897,4.3333
washboard,5.5789,5.5789
hamster,5.5789,5.6316
crown,5.5676,5.7838
shrimp,5.5676,5.7838
coat_rack,5.5641,4.7692
gravel,5.555600000000001,5.75
toaster,5.552600000000001,6.0
game,5.540499999999999,5.945899999999999
sleeping_bag,5.5278,5.9167
worm,5.5263,5.3947
lock,5.5135,5.459500000000001
wheelchair,5.512800000000001,4.1026
bike,5.5,4.9474
beachball,5.487199999999999,6.2307999999999995
wooden_leg,5.485699999999999,5.514300000000001
mousetrap,5.4722,5.4167
scarecrow,5.45,5.1
confetti,5.4359,5.641000000000001
shield,5.4324,5.1892
knot,5.425,5.650000000000001
thermostat,5.4242,5.2424
blender,5.4211,5.7895
beetle,5.4103,5.641000000000001
birdcage,5.400000000000001,5.2
vase,5.3947,5.6842
omelet,5.3947,5.5
telescope,5.3947,4.7368
contact_lens,5.3947,5.7105
prism,5.3889,5.555600000000001
nest,5.3889,5.4167
footrest,5.3846,5.2821
net,5.363600000000001,5.1212
pineapple,5.351400000000001,5.6216
lawnmower,5.351400000000001,3.2973
banana_split,5.3333,5.5897
shaving_cream,5.325,5.825
microscope,5.3243,5.1351
viewfinder,5.3243,3.4595
waffle_iron,5.3158,5.5263
hotplate,5.3143,5.2286
toolbox,5.3077,5.2308
sprinkler,5.3077,5.4103
drawer,5.3077,4.3846
crystal1,5.2973,5.7838
easel,5.2895,4.8421
birdhouse,5.2821,5.5641
pocket,5.2778,4.5833
aloe,5.2632,5.447399999999999
noodle,5.2564,5.794900000000001
banner,5.25,5.2
spout,5.2308,4.8718
extinguisher,5.2222,5.1389
meat_grinder,5.2162,4.5946
hip,5.2,4.875
bell,5.1892,5.1622
guacamole,5.1667,5.555600000000001
sonogram,5.1579,5.0526
crib,5.1579,3.0526
crayfish,5.1538,5.2308
coleslaw,5.1316,5.3158
trashcan,5.1282,4.6923
tiramisu,5.1282,5.4615
breadbox,5.1282,4.7436
tongue,5.1111,4.6667
lasagna,5.1081,5.2162
chair,5.0811,4.9459
jack,5.0811,4.3514
starfish,5.075,5.45
earwig,5.0556,4.8889
bassinet,5.0541,4.2973
icicle,5.0513,4.8205
cat,5.0256,5.1795
projector,5.025,4.975
woman,5.0,5.2105
road_sign,5.0,3.6486
hammock,5.0,4.9189
dog,4.9722,5.0278
chinchilla,4.9667,5.2
trap,4.9487,4.5385
clock,4.9474,4.8421
beer,4.9444,5.25
ant,4.9444,5.1667
rocking_chair,4.9429,3.7999999999999994
turtle,4.9231,4.4615
lectern,4.9143,3.4571
rug,4.8974,4.2564
mirror,4.8889,4.6944
ladder,4.8788,4.5455
mousse,4.8684,5.3684
jam,4.8684,5.1316
computer_screen,4.8649,4.6757
wine,4.8649,5.0811
table,4.85,3.275
pumpkin,4.8378,4.9459
boy,4.8205,4.6923
windowsill,4.8108,3.8108
seesaw,4.7895,3.3158
cake,4.7838,5.459500000000001
robot,4.775,4.4
face,4.7632,4.4474
drum,4.7632,4.6316
roof_rack,4.7568,3.7568
man,4.7568,3.9730000000000003
praying_mantis,4.7568,4.9189
barnacle,4.7222,4.8889
soy_sauce,4.7105,5.0263
saddle,4.7105,4.3421
chipmunk,4.7105,4.5526
taillight,4.7027,4.2162
mailbox,4.6944,3.9444
sundial,4.6923,3.7179
motorcycle,4.6842,2.9736999999999996
typewriter,4.6765,4.4412
oatmeal,4.675,5.15
honeycomb,4.6667,4.4444
parachute,4.6486,4.2162
chest1,4.6389,4.4444
cage,4.6389,4.4444
applesauce,4.6111,4.9444
chili,4.5946,4.7568
garbage,4.5641,4.7692
sink,4.5135,2.6216
fireworks,4.5,4.3947
fence,4.5,3.3421
water_fountain,4.4857,3.0285999999999995
ferret,4.45,4.775
wallpaper,4.4474,4.5263
spider,4.4474,4.2632
tumbleweed,4.4359,4.4103
girl,4.4359,4.6154
scanner,4.4324,4.3784
speaker,4.425,3.8250000000000006
gramophone,4.3714,3.6286
lizard,4.3611,4.4444
altar,4.359,2.9487
chest2,4.3514,3.2162
mouse1,4.3421,4.5789
grate,4.3333,3.4359
bench,4.3333,3.0278000000000005
syrup,4.2973,4.6216
shredder,4.2973,4.2162
tent,4.2973,3.6215999999999995
antenna,4.2895,3.6316
tree,4.2821,2.4103
treadmill,4.25,2.4
television,4.2,3.3250000000000006
dresser,4.1892,2.0
burner,4.1842,3.7368
lemonade,4.1842,4.4737
touchpad,4.1622,3.7568
bunkbed,4.15,1.9750000000000003
grits,4.1429,4.5429
donkey,4.1282,2.6667
tadpole,4.1053,4.4211
pudding,4.1026,4.2051
locker,4.0882,2.7941
computer,4.0789,3.6842
carousel,4.0541,2.5405
scaffolding,4.0526,2.6053
bobsled,4.0256,2.7435999999999994
ping-pong_table,4.0,2.8973999999999998
raft,3.975,3.3250000000000006
lobster,3.9744000000000006,4.1026
cockroach,3.9736999999999996,3.8947
paint,3.9730000000000003,4.1081
dollhouse,3.9721999999999995,3.3333
car,3.9474,1.7105
fondue,3.9474,3.7632
rabbit,3.9444,4.5
stalagmite,3.9444,2.6944
go-kart,3.9211000000000005,2.0263
desk,3.9188999999999994,2.4324
guardrail,3.8947,2.7632
iguana,3.8718,3.5641
punch1,3.8684,4.2105
koala,3.8649,3.9188999999999994
christmas_tree,3.8529,2.5294
gel,3.8378,4.7027
weasel,3.8286,3.5429
pigeon,3.8205000000000005,3.7949
goalpost,3.7999999999999994,1.925
penguin,3.7838,3.2432
bumper,3.7692,3.4359
canoe,3.7632,2.7105
sheep,3.7568,2.7027
hedge,3.75,2.75
grasshopper,3.75,4.1111
powder,3.7368,4.6842
granite,3.6923,2.9487
golf_cart,3.6842,1.9474
radiator,3.6764999999999994,2.5882
sunroof,3.6749999999999994,3.0499999999999994
horse,3.6579,2.5263
guillotine,3.6579,2.1053
odometer,3.6486,3.3514
frog,3.6316,4.1316
footbath,3.6286,2.9142999999999994
piano,3.6153999999999997,1.9231
goat,3.5946,2.7838
anchor,3.5946,1.8919
punching_bag,3.5946,2.9730000000000003
gravestone,3.5946,2.2703
dashboard,3.5897,2.641
butterfly,3.5897,4.2821
chicken_wire,3.5833,4.1389
gondola,3.5788999999999995,2.2368
solar_panel,3.5788999999999995,2.9211000000000005
airbag,3.5676,3.4054
sloth,3.5676,3.7838
hedgehog,3.5641,3.641
coffin,3.5641,2.5641
wasp,3.5405,3.0811000000000006
crate,3.5405,3.0269999999999997
fish,3.5405,3.7297
chalkboard,3.5385000000000004,2.7692
buggy,3.5278000000000005,1.75
scorpion,3.5278000000000005,3.0278000000000005
satellite_dish,3.5143,2.4286
dragonfly,3.5143,4.1143
toucan,3.5135,3.4865
mast,3.5135,2.0541
anteater,3.4865,2.5946
soda_fountain,3.4865,1.8648999999999998
monkey,3.4721999999999995,3.5833
rat,3.4614999999999996,3.4359
filing_cabinet,3.4595,2.1081
moth,3.4595,4.2973
dishwasher,3.4474,2.2105
groundhog,3.4444,3.4721999999999995
urinal,3.4103,2.3333
boat,3.3889,2.0278
milk,3.3784000000000005,3.9188999999999994
couch,3.3784000000000005,2.2432
bed,3.3714,2.2286
squirrel,3.359,3.3077
otter,3.359,3.3077
bird,3.3429,3.7714
jukebox,3.2973,1.9189
platypus,3.2703,3.1622
tractor,3.2632,1.6053
possum,3.2564000000000006,3.3846000000000003
drain,3.25,2.5278
stair,3.2286,2.0857
copier,3.2221999999999995,2.3056
skunk,3.2105,3.1053
refrigerator,3.2105,1.7895
seagull,3.2000000000000006,3.225
gargoyle,3.1538,1.9231
beaver,3.1316,3.1316
chandelier,3.1316,2.1842
llama,3.1111,1.9444
mosquito,3.1053,3.4211000000000005
tree_trunk,3.1026000000000002,2.4872
snowplow,3.0882,2.3235
barrel,3.0811000000000006,2.8378
snake,3.0769,3.1026000000000002
toilet,3.0294000000000003,2.0882
bee,3.0,3.0
ferris_wheel,2.9444,1.8610999999999998
panda,2.9231,2.0513
pig,2.9211000000000005,2.7105
manhole,2.9167,2.5833
camel,2.9142999999999994,2.1714
scoreboard,2.8857,1.5429000000000002
anvil,2.8611,1.6110999999999998
jellyfish,2.8611,2.6111
octopus,2.8462,2.6923
streetlight,2.8378,1.8107999999999997
firetruck,2.8235000000000006,1.7059
helicopter,2.8205000000000005,1.4872000000000003
boar,2.7999999999999994,2.1
stove1,2.7778000000000005,1.6389000000000002
limousine,2.7632,1.7632
closet,2.75,2.2778
raccoon,2.7027,2.5676
cow,2.6749999999999994,1.675
giraffe,2.6486,1.5405
bulldozer,2.6111,1.6666999999999998
bus,2.6053,1.5
tattoo,2.6,2.3
bubble,2.5833,2.1667
dolphin,2.5641,2.1282
cannon,2.5526,1.7895
forklift,2.5429,1.8
graffiti,2.5135,1.5946
steamroller,2.4872,1.2308
zebra,2.4872,1.8974
wall,2.4865,1.9189
wolf,2.4615,2.0513
subway,2.4595,1.8919
ship,2.4054,1.5405
moose,2.3784,1.5946
hovercraft,2.3684,1.4737
lion,2.3429,1.2571
kangaroo,2.3158,1.8421
antelope,2.3056,1.8610999999999998
sea_urchin,2.275,2.225
shower,2.2286,1.9429
train,2.2,1.2857
missile,2.1351,1.5134999999999998
manatee,2.1282,1.8717999999999997
aircraft_carrier,2.0833,1.1944
truck,2.0541,1.5134999999999998
alligator,2.05,1.4750000000000003
deer,2.0263,1.8158
leopard,2.0,1.5
warthog,2.0,1.6316
rhinoceros,2.0,1.2
footprint,1.973,1.8648999999999998
cheetah,1.95,1.4750000000000003
tiger,1.9459,1.3784
blimp,1.8717999999999997,1.4615
airplane,1.8684,1.3158
elephant,1.8648999999999998,1.2432
space_shuttle,1.8421,1.1842
pothole,1.8182,1.4242
whale,1.7895,1.3947
hippopotamus,1.7838,1.2703
bison,1.7838,1.4865000000000002
walrus,1.7692000000000003,1.3077
cactus,1.7222,1.4722
porcupine,1.6757,1.5134999999999998
fire,1.625,1.5
bear,1.6053,1.3947
submarine,1.5675999999999999,1.3243
