uniqueID,grasp_rating
cauliflower,6.075
caviar,5.0256
cd_player,6.2424
celery,6.3158
cello,5.4474
cellphone,6.5135
cement_mixer,2.4474
centerpiece,5.0541
centrifuge,3.7838
cereal,5.8649
chain,5.725
chainsaw,4.9211
chair,5.0811
chalice,5.7222
chalk,6.3684
chalkboard,3.5385
champagne,5.0
chandelier,3.1316
chaps,6.1111
charcoal,5.8684
charger,6.4474
chariot,3.8919
checkbook,6.6111
checkers,6.2162
cheese,5.9211
cheeseburger,6.5641
cheesecake,5.1892
cheetah,1.95
cherry,6.6923
chess_piece,6.4737
chessboard,5.9167
chest1,4.6389
chest2,4.3514
chick,5.5897
chicken1,4.9189
chicken2,5.5135
chicken_wire,3.5833
chickpea,6.6486
chihuahua,5.5526
chili,4.5946
chime,5.4286
chimney,2.3333
chin,5.9167
chinaware,5.95
chinchilla,4.9667
chip,6.1026
chipmunk,4.7105
chips,6.4103
chisel,6.1795
chive,6.4359
chocolate,6.5833
chopsticks,6.1622
christmas_card,6.4872
christmas_tree,3.8529
chute,3.3889
cigar,6.4848
cigarette,6.4865
cigarette_butt,6.4444
cigarette_holder,6.6111
cilantro,6.3684
cinnamon,6.5385
clam,6.3514
clarinet,5.7778
clasp,6.1
clay,5.6857
cleat,5.8056
cleaver,6.2973
clipboard,6.4167
clipper1,6.0541
clipper2,6.7105
cloak,6.1892
clock,4.9474
closet,2.75
clothes,6.6364
clothesline,5.9714
clothespin,6.4324
cloud,1.5135
clove,6.4
clover,6.3421
coal,5.0
coaster,6.5
coat,6.1892
coat_rack,5.5641
cobra,2.5143
cockatoo,3.7436
cockroach,3.9737
cocktail,6.0789
coconut,5.7838
cocoon,6.2162
coffee,4.8
coffee_bean,6.4571
coffee_filter,6.4444
coffee_pot,6.3611
coffee_table,4.9189
coffeemaker,5.3143
coffin,3.5641
coil,5.1389
coin,6.2105
coleslaw,5.1316
collar,6.3684
column,3.3056
comb,6.75
combination_lock,6.0263
comic_book,6.5789
compass,6.4857
compost,4.4103
computer,4.0789
computer_screen,4.8649
confetti,5.4359
contact_lens,5.3947
container,1.6111
cooker,5.25
cookie,6.2778
cookie_cutter,6.4722
cookie_sheet,6.0526
cooler,5.1316
coop,3.0278
copier,3.2222
coral,4.1351
cord,6.5405
cordon_bleu,5.7368
cork,6.4444
corkboard,5.5789
corkscrew,6.3611
corn,6.2895
cornbread,6.3158
cornhusk,6.2432
cornmeal,4.7027
cornucopia,4.5676
corsage,6.3421
corset,5.5556
costume,6.2162
cot,5.7105
cotton_candy,6.0811
couch,3.3784
cougar,2.1538
counter,4.2432
coverall,6.0833
cow,2.675
coyote,2.4474
crab,3.6216
cracker,6.3714
cranberry,6.6
crane,2.2368
crank,5.8421
crate,3.5405
crayfish,5.1538
crayon,6.5526
cream,5.2162
cream_cheese,5.85
credit_card,6.475
creme_brulee,4.9487
crepe,6.1538
crib,5.1579
croissant,6.3514
cross,5.6944
crossbow,5.5833
crouton,6.4211
crow,3.5128
crowbar,5.7838
crown,5.5676
crucifix,4.2
cruise_ship,2.4324
crumb,5.8378
crutch,5.8974
crystal1,5.2973
crystal2,5.1471
crystal_ball,5.8421
cuckoo_clock,5.0
cucumber,6.4359
cufflink,6.4359
cummerbund,6.2286
cup,6.6111
cupcake,6.55
curb,2.1351
curling_iron,6.1316
curry,4.6316
curtain,6.3333
cushion,6.2353
cutting_board,5.9459
cymbal,5.6842
dagger,5.85
daisy,6.3514
dalmatian,4.8
dandelion,6.3158
dart,6.3684
dartboard,5.4211
dashboard,3.5897
deer,2.0263
defibrillator,5.8205
denture,5.7632
deodorant,6.4865
desk,3.9189
dessert,5.973
detonator,5.2368
dial,5.5526
diamond,5.9231
diaper,6.3846
dice,6.641
dip,4.25
dirt_bike,5.2821
dish,6.4474
dishrag,6.6667
dishwasher,3.4474
dishwashing_liquid,4.9211
diskette,6.6471
diving_board,4.8421
dog,4.9722
dogfood,5.6471
doghouse,3.8974
doily,6.2821
doll,6.3514
dollhouse,3.9722
dolly,5.5897
dolphin,2.5641
domino,6.6111
donkey,4.1282
donut,6.5882
door,5.5526
doorbell,3.8056
doorhandle,6.6111
doorknob,6.5526
doorknocker,6.1944
doormat,5.9189
doorstop,6.3947
dough,5.6571
dragonfly,3.5143
drain,3.25
drawer,5.3077
dreidel,6.4167
dress,6.2778
dresser,4.1892
drill,5.8
drink,6.2632
drum,4.7632
drumstick,6.7027
dryer,2.8158
duck,4.0526
duckling,5.6053
duct,3.3077
duct_tape,6.0
duffel_bag,5.9474
dumbbell,5.7895
dumbwaiter,3.5429
dumpling,6.25
dumpster,2.5833
duster,6.5946
dustpan,6.1351
dynamite,5.2895
eagle,2.4211
ear,5.7632
earplug,6.5128
earring,6.25
earwig,5.0556
easel,5.2895
easter_egg,6.5946
eclair,6.3143
eel,3.0
egg,6.4
egg_roll,6.5789
eggbeater,6.3684
eggnog,4.35
eggplant,6.1842
eggshell,6.4615
elbow,5.7105
electric_chair,3.7838
elephant,1.8649
emerald,5.8421
enchilada,5.641
engine,2.7436
envelope,6.5789
eraser,6.7105
espresso,5.1316
exerciser,5.9211
exhaust_pipe,4.2222
extinguisher,5.2222
eye,2.9211
eye_patch,6.4444
eyedropper,6.5429
eyeliner,6.3333
eyepiece,6.4615
face,4.7632
face_mask,5.8947
fan,4.8649
fast_food,6.2571
faucet,5.9737
feather,6.5
fence,4.5
fencepost,5.4474
fern,6.0571
ferret,4.45
ferris_wheel,2.9444
ferry,1.7059
fig,6.4167
figurine,5.875
file1,6.5714
file2,6.2286
filing_cabinet,3.4595
film,6.3846
filter,5.7647
finger,6.5405
fingerprint,2.4595
fire,1.625
fire_alarm,5.4737
fire_hydrant,3.65
fire_pit,4.4359
firecracker,5.9444
fireplace,2.8378
firetruck,2.8235
firewood,5.1176
fireworks,4.5
first-aid_kit,6.1579
fish,3.5405
fishbowl,5.1842
fishhook,5.8485
fishing_pole,6.3143
fishnet_stockings,5.8286
flag,6.1579
flagpole,5.3611
flamethrower,4.7105
flamingo,3.1176
flan,4.3947
flashbulb,5.6757
flashlight,6.4615
flask,6.5641
flatiron,6.4595
flip_flop,6.4062
flipper,6.2308
float,5.359
floss,6.25
flour,4.2973
flower,6.4211
flute,6.3158
fly,2.7105
flypaper,5.2368
flyswatter,6.4
foam,6.2632
folder,6.4412
fondue,3.9474
food_processor,5.6579
foot,6.1
football,5.9714
football_helmet,5.925
footbath,3.6286
footprint,1.973
footrest,5.3846
fork,6.5714
forklift,2.5429
fossil,4.0571
fountain_pen,6.6571
fox,2.5
frame,5.8947
freezer,2.9231
french_fries,6.4211
french_horn,5.1053
frisbee,6.7105
frog,3.6316
fruit,6.1316
fruitcake,6.0789
fudge,6.3158
fungus,5.75
funnel,6.6486
fur_coat,5.4054
furnace,2.3243
fuse,6.1714
gallows,3.5897
game,5.5405
garbage,4.5641
garbage_truck,2.7714
gargoyle,3.1538
garlic,6.3714
garter,6.5
gas_mask,6.0769
gasket,5.5789
gate,5.0
gauge,5.6316
gauze,6.4324
gavel,6.4865
gazelle,2.4865
gear,4.7949
gearshift,6.5897
gel,3.8378
gem,5.9412
generator,4.3684
gift,5.5263
ginger,6.3333
gingerbread_man,6.4444
giraffe,2.6486
girl,4.4359
glass,6.5
glasses,6.5405
globe,4.9722
glove,6.6667
glue,5.3333
go-kart,3.9211
goalpost,3.8
goat,3.5946
goblet,6.225
goggles,6.5429
gold,5.65
goldfish,3.4211
golf_cart,3.6842
golf_club,6.375
gondola,3.5789
gong,4.6923
goose,3.45
gopher,3.3947
gorilla,2.2632
gourd,5.1892
graffiti,2.5135
grain,5.7436
gramophone,4.3714
granite,3.6923
granola,6.2432
grape,6.4054
grapefruit,6.2973
grapevine,5.3077
grass,5.8889
grasshopper,3.75
grate,4.3333
grater,6.0811
gravel,5.5556
gravestone,3.5946
gravy,3.2162
green_beans,6.5
grenade,5.9737
grill,4.4444
grille,4.1
grinder,5.4737
grits,4.1429
groundhog,3.4444
guacamole,5.1667
guardrail,3.8947
guillotine,3.6579
guinea_pig,5.0857
guitar,5.8974
gum,6.5641
gumball,6.5385
gumdrop,6.7222
gun,5.8947
gurney,5.3846
gutter,4.1944
gyro,6.3077
gyroscope,6.0
hail,5.5135
hair,6.075
hairbrush,6.65
hairdryer,6.5263
hairnet,6.5833
hairpin,6.4474
hairspray,5.0833
ham,5.5526
hamburger,6.5526
hammer,6.4444
hammock,5.0
hamster,5.5789
hand,6.4211
handbrake,6.2703
handcuff,6.2
handkerchief,6.7105
handle,6.4103
handlebar,6.3714
handprint,2.2162
hanger,6.5676
hard_disk,5.6216
harmonica,6.6389
harness,5.9737
harp,4.2
hash,4.7895
hat,6.3889
hatbox,6.1714
hatchet,5.9474
hawk,2.9429
hay,5.6579
headband,6.7895
headdress,5.6053
headlamp,6.3243
headlight,4.1818
headphones,6.5833
headrest,6.0789
headscarf,6.4737
headset,6.5385
hearing_aid,6.4595
hearse,2.5676
heater,4.5128
hedge,3.75
hedgehog,3.5641
helicopter,2.8205
helmet,6.1026
highchair,5.75
highlighter,6.6842
hinge,5.5385
hip,5.2
hippopotamus,1.7838
hobbyhorse,6.1282
hockey_stick,6.3421
hoe,6.2162
hole,1.8286
holster,6.15
home_plate,3.5556
honey,3.7838
honeycomb,4.6667
honeypot,5.6579
hood,6.2941
hoodie,6.1892
hook1,6.0769
hook2,5.6216
hookah,5.7297
hopscotch,3.0286
horn,6.2353
horse,3.6579
horseshoe,5.8684
hose,5.9459
hot-air_balloon,2.7714
hot-water_bottle,5.9394
hot_chocolate,4.6757
hot_tub,3.2703
hotdog,6.6154
hotplate,5.3143
hourglass,5.8333
hovercraft,2.3684
hubcap,5.7895
hula_hoop,6.3889
hummingbird,3.2703
hummus,4.7179
humvee,2.9737
hydrant,3.75
hyena,1.8889
ice,4.1316
ice-cream_cone,6.2973
ice_cream,5.2432
ice_cube,4.9737
ice_pack,6.0526
icemaker,4.1111
icepick,6.6571
iceskate,5.6053
icicle,5.0513
iguana,3.8718
incense,6.1351
incubator,4.3846
inhaler,6.6053
ink,3.8649
inkwell,5.9189
insole,6.2778
iron,6.2105
ironing_board,5.1944
ivy,6.1081
jack,5.0811
jacket,6.1282
jackhammer,4.1515
jalapeno,6.3421
jam,4.8684
jar,6.027
javelin,5.5946
jeans,6.3684
jeep,2.8158
jelly_bean,6.3333
jellyfish,2.8611
jersey,6.4324
jet,1.8919
jetski,4.4872
jewel,6.2222
jewelry,6.3158
jigsaw_puzzle,5.2857
joystick,6.359
jug,5.6667
juice,4.0541
juicer1,6.2941
juicer2,5.1795
jukebox,3.2973
jump_rope,6.5897
jumpsuit,6.027
kale,6.1892
kaleidoscope,5.8108
kangaroo,2.3158
kayak,4.3143
kazoo,6.3889
kebab,6.2973
keg,3.2222
ketchup,4.8158
kettle,6.4167
key,6.7105
keyboard,4.75
keyhole,2.2571
kilt,6.1714
kimono,6.0833
kite,6.027
kitten,5.825
kiwi,6.6316
knee,5.9167
kneepad,6.4865
knife,6.4167
knitting,5.5429
knitting_needle,6.4054
knob,6.6579
knot,5.425
koala,3.8649
lab_coat,6.625
ladder,4.8788
ladle,6.4857
ladybug,5.0556
lamb,3.9189
lamb_chop,5.8947
lamp,5.8947
lamppost,5.1316
lampshade,5.925
landmine,4.2727
lantern,6.2286
lanyard,6.6216
laptop,5.8857
lasagna,5.1081
laser_pointer,6.5143
latch,6.027
latte,5.8649
laundry_basket,6.1892
lava,1.3158
lavender,6.1351
lawnmower,5.3514
leaf,6.6486
leash,6.6389
lectern,4.9143
leech,4.8947
leek,6.1765
leg,5.775
leggings,6.5
lego,6.5385
lemon,6.4
lemonade,4.1842
lens,6.0811
leopard,2.0
leotard,6.5
letter_opener,6.6579
lettuce,6.35
license_plate,6.0526
licorice,6.3784
lid,6.5385
life_jacket,5.9737
lifesaver,6.2778
light_switch,5.2308
lightbulb,6.4324
lighter,6.7
lightning_bug,4.1351
lime,6.5263
limousine,2.7632
lingerie,6.2703
lion,2.3429
lip_balm,6.5
lip_gloss,6.3714
lipstick,6.575
lizard,4.3611
llama,3.1111
lobster,3.9744
lock,5.5135
locker,4.0882
locket,6.5946
log,3.641
loincloth,6.2286
lollipop,6.5429
loom,4.8108
loveseat,3.2647
luggage,5.5385
lumber,4.5405
lunchbox,6.6154
macadamia,6.4324
macaroni,6.1538
machete,5.8649
machine_gun,4.4
maggot,5.6053
magnet,6.0263
magnifier,5.6667
magnifying_glass,6.5
mail,6.3889
mailbox,4.6944
makeup,5.8
mallet,6.2564
man,4.7568
manatee,2.1282
mandolin,5.7632
mango,6.4571
manhole,2.9167
mannequin,4.675
mantle,4.5588
map,6.0
maple_syrup,4.4722
marble,6.5676
margarita,5.8611
marijuana,6.0857
marker,6.4167
marmalade,4.5
marshmallow,6.3333
mascara,6.2564
mashed_potato,4.8108
mask,6.2778
mast,3.5135
mat,5.973
match,6.3684
matchbox,6.7027
mattress,3.6486
measuring_cup,6.3421
meat,5.8
meat_grinder,5.2162
meatball,6.425
meatloaf,5.6842
medal,6.2564
meerkat,3.2051
megaphone,6.0256
melon,5.7632
memory_stick,6.3684
metal_detector,6.1667
metronome,5.7568
microphone,6.6053
microscope,5.3243
microwave,3.5946
milk,3.3784
milkshake,5.7632
minivan,3.2821
mint,6.2432
mirror,4.8889
missile,2.1351
mistletoe,6.1892
mitten,6.8
mixer,4.973
moccasin,6.4737
modem,5.9737
mold1,5.8974
mold2,4.3611
mole,4.15
money,6.5
mongoose,2.8378
monkey,3.4722
moose,2.3784
mop,6.359
mosquito,3.1053
mosquito_net,6.0571
moss,5.1944
moth,3.4595
motherboard,5.3056
motorcycle,4.6842
mouse1,4.3421
mouse2,6.4211
mousepad,6.6316
mousetrap,5.4722
mousse,4.8684
mouth,4.2632
mouthpiece,6.525
mud,4.1579
muff,6.3056
muffin,6.4872
mug,6.8205
mulberry,6.5789
mulch,5.5946
mullet,5.4737
mushroom,6.2
music_box,5.7838
mussel,6.2105
mustache,5.2308
mustard,4.6216
nacho,6.2432
nail,6.2059
nail_clippers,6.3158
nail_file,6.303
nail_polish,5.8718
napkin,6.6667
napkin_ring,6.75
navel,3.2703
neck,5.5
necklace,6.3056
needle,6.4737
nest,5.3889
net,5.3636
nightshirt,6.5
nightstand,3.5385
noisemaker,6.75
noodle,5.2564
noose,6.1351
nose,6.1316
notebook,6.5
notepad,6.5263
nut,6.5789
nutcracker,6.5263
oar,5.6757
oatmeal,4.675
octopus,2.8462
odometer,3.6486
oil,3.0
oilcan,6.2432
okra,6.3684
olive,6.3333
omelet,5.3947
onion,6.4722
orange,6.4286
orange_rind,6.5128
orangutan,3.1282
orchid,6.2432
organ,2.7143
origami,5.7105
ostrich,2.4595
otter,3.359
ottoman,4.3611
outfit,5.9487
outlet,3.6176
oven,3.1622
overalls,6.1111
owl,2.6571
oyster,6.275
pacifier,6.6452
paddle,6.1579
padlock,5.9143
paint,3.973
paintbrush,6.5429
painting,5.3514
pajamas,6.4857
palette,6.3611
pallet,3.6842
palm_tree,3.3684
pan,6.075
pancake,6.1316
panda,2.9231
panther,2.0
panties,6.7222
pants,6.6316
pantsuit,6.0
pantyhose,6.0278
papaya,5.9189
paper,6.5385
paper_bag,6.7143
paper_plate,6.4054
paper_towel,6.5556
paperclip,6.2571
paperweight,5.5789
parachute,4.6486
parfait,5.9231
parking_meter,4.4286
parrot,3.7105
parsley,6.4103
pasta,5.4865
pastry,6.5278
patch,6.4595
patty,6.3158
payphone,4.6389
pea,6.4444
peach,6.4211
peacock,3.1538
peanut,6.7179
peanut_butter,4.475
pear,6.4615
pearl,6.2778
pecan,6.6857
pedal,5.2632
pedometer,6.6667
peeler,6.5429
peg,6.7692
pelican,2.7838
pen,6.8286
pencil,6.6111
pencil_sharpener,6.7429
pendulum,5.3947
penguin,3.7838
penholder,5.9231
penlight,6.7895
pennant,6.0
pepper1,6.325
pepper2,5.3824
pepper_mill,6.375
peppermint,6.4211
pepperoni,6.3243
perfume,5.9737
periscope,4.8919
pesto,5.4722
pet_food,5.8974
petal,6.4872
petri_dish,6.4103
pheasant,3.35
phone,6.5938
phone_booth,3.3684
photo_booth,3.1111
photograph,6.7105
piano,3.6154
pickax,5.5946
pickle,6.4737
pie,5.8684
piecrust,5.8205
pig,2.9211
pigeon,3.8205
piggy_bank,5.3684
piglet,4.1667
pill,6.2105
pillbox,6.5676
pillow,6.3889
pin,6.0556
pinball,4.3846
pincushion,6.2353
pine_needle,6.0
pine_tree,3.4324
pineapple,5.3514
pinecone,6.3846
ping-pong_table,4.0
pinwheel,6.3947
pipe1,6.1622
pipe2,5.1667
pistachio,6.4722
pita,6.2564
pitcher,6.1351
pitchfork,5.8611
pizza,5.975
place_mat,6.3514
plant,5.7297
plaster_cast,4.8947
plastic_film,6.2432
plate,6.5135
platypus,3.2703
playing_card,6.6857
playpen,4.8974
pliers,6.3421
plug,6.5
plum,6.2564
plunger,6.3514
pocket,5.2778
pocket_watch,6.6757
pocketknife,6.0278
pogo_stick,5.8378
poinsettia,5.95
poker,6.2308
polar_bear,1.7714
polaroid,6.4359
pole,5.5385
police_car,2.8462
polisher,5.6053
polo_shirt,6.4324
polygraph,4.3243
pom-pom,6.825
pomegranate,6.4286
pony,3.4722
poodle,5.1892
pool_table,3.3333
popcorn,6.4167
poppy,6.3611
popsicle,6.5789
porcupine,1.6757
porthole,3.0571
possum,3.2564
poster,6.1429
pot,6.1892
potato,6.3514
potholder,6.4324
pothole,1.8182
potpie,5.2353
potpourri,5.8108
powder,3.7368
power_line,2.4324
praying_mantis,4.7568
pretzel,6.3077
printer,3.9474
prism,5.3889
projector,5.025
propeller,3.6216
prune,6.4474
puck,6.3077
pudding,4.1026
puddle,1.7714
puffin,3.3077
pug,5.5405
pulley,5.6667
pulpit,4.0263
pump,5.2308
pumpkin,4.8378
punch1,3.8684
punch2,6.5833
punching_bag,3.5946
puppet,6.3421
puppy,5.4286
purse,6.5
quad,4.0811
quesadilla,6.3243
quiche,5.973
quill,6.5385
quilt,5.7714
rabbit,3.9444
raccoon,2.7027
racehorse,3.55
rack1,5.1351
rack2,4.05
racket,6.6176
radar,2.9688
radiator,3.6765
radio,5.7179
radish,6.1316
raft,3.975
rag,6.6486
railing,6.3611
rain_gauge,6.0789
raincoat,6.4444
raisin,6.5676
rake,6.5946
ram,2.9487
ramp,3.8421
raspberry,6.4872
rat,3.4615
ratchet,6.2308
rattle,6.6667
rattlesnake,2.8974
ravioli,5.9211
razor,6.3846
razor_blade,4.5789
ready_meal,6.3158
rearview_mirror,6.3947
recliner,4.2308
record,6.1316
record_player,5.0556
recorder,6.4865
red_carpet,4.5641
reel,5.5833
refrigerator,3.2105
reindeer,3.0526
remote_control,6.8056
retainer,6.303
revolver,5.8974
revolving_door,4.6316
rhinoceros,2.0
rhubarb,6.2703
ribbon,6.4211
rice,5.8718
rickshaw,4.7895
rifle,5.6053
rim,4.8919
ring,6.5405
riser,3.6842
road_sign,5.0
roadsweeper,2.7692
robe,6.1316
robot,4.775
rock,3.7429
rocket,1.9459
rocking_chair,4.9429
rocking_horse,4.8718
roll,6.5676
roller,5.0811
roller_coaster,2.6053
rollerblade,5.6757
rollerskate,5.8333
rolling_pin,6.1389
roof_rack,4.7568
rooster,3.8462
root,4.0
rope,5.85
rosary,6.25
rose,6.2051
roulette_wheel,4.6111
router,5.8919
rubber_band,6.8205
ruby,6.1053
rudder,4.6757
rug,4.8974
ruler,6.5526
rust,2.7632
saddle,4.7105
safety_pin,6.4737
saffron,5.6667
sail,4.1053
sailboat,2.8611
salad,5.3421
salami,5.8333
saltshaker,6.6842
sand,4.4474
sandal,6.2727
sandbag,4.0
sandbox,2.9730000000000003
sandcastle,2.9444
sandpaper,5.9744
sandwich,6.4
sarcophagus,2.9143
sardine,5.0
satellite,2.0789
satellite_dish,3.5143
sauce,5.2778
saucer,6.0526
sauerkraut,5.6944
sausage,6.3077
saw,5.9487
sawhorse,4.975
saxophone,5.45
scaffold,3.9459
scaffolding,4.0526
scale,5.2703
scallion,6.6857
scallop,5.6471
scalpel,6.4857
scanner,4.4324
scarecrow,5.45
scarf,6.7692
school_bus,2.2973
scissors,6.3056
scone,6.4615
scoop,6.5946
scooter,5.7429
scoreboard,2.8857
scorpion,3.5278
scrabble,6.0
scrambled_egg,4.9459
scraper,6.5
screen1,4.2895
screen2,5.3077
screw,6.5405
screwdriver,6.4615
scuba,5.0
sea_urchin,2.275
seafood,5.8919
seagull,3.2
seahorse,3.55
seal,2.5588
seaplane,2.4054
seatbelt,6.3429
seaweed,5.5526
seed,6.5556
seesaw,4.7895
seismograph,3.4359
sequin,5.9231
sewage,3.0256
sewing_kit,6.2941
sewing_machine,4.9231
shaker,6.0256
shark,1.7
shaving_cream,5.325
shawl,6.3158
shears,5.6111
sheath,6.2895
sheep,3.7568
sheet,6.2368
shelf,4.0857
shell1,6.3514
shell2,6.6216
shell3,6.25
shield,5.4324
ship,2.4054
shirt,6.6053
shoe,6.1714
shoe_polish,5.7778
shoehorn,6.3529
shoelace,6.6053
shopping_basket,6.3684
shopping_cart,5.7436
shortbread,6.6111
shorts,6.4211
shoulder,5.8718
shovel,5.8974
shower,2.2286
shower_cap,6.6053
shower_curtain,6.2368
showerhead,5.9487
shredder,4.2973
shrimp,5.5676
shuffleboard,3.9487
shutter,5.2
sickle,5.8919
sidecar,3.9143
sifter,6.5294
silicone,5.7105
silverware,6.3846
sim_card,5.8158
sink,4.5135
siren,4.1944
skateboard,5.8718
skeleton,4.25
skewer,6.3514
ski,5.2162
ski_boots,5.5278
ski_lift,3.7179
ski_pole,6.1622
skin,5.2162
skirt,6.4359
skull,4.8611
skunk,3.2105
sled,5.4103
sledgehammer,5.2973
sleeping_bag,5.5278
slicer,4.225
slide,3.8974
slime,4.4211
sling,6.2895
slingshot,6.2368
slipper,6.2778
slot,3.2895
slot_machine,4.0278
sloth,3.5676
slug,4.7692
smoke_alarm,5.9487
smoothie,5.4324
snack,6.3333
snail,6.0
snake,3.0769
snorkel,5.9737
snow,5.3947
snowball,6.3158
snowboard,5.6053
snowman,3.5135
snowmobile,4.2632
snowplow,3.0882
snowshoe,5.6316
snowsuit,5.9487
soap,5.5897
soccer_ball,5.7778
sock,6.6579
soda,4.7436
soda_fountain,3.4865
sofa_bed,3.6053
solar_panel,3.5789
soldering_iron,6.0556
sombrero,6.3846
sonogram,5.1579
sorbet,5.3158
souffle,5.1538
soup,3.5
soy_sauce,4.7105
space_shuttle,1.8421
spacesuit,4.6316
spaghetti,5.2368
