uniqueID,hold_rating
cabbage,6.1842
cabinet,2.2895
cable,5.8378
cactus,1.4722
cage,4.4444
cake,5.4595
cake_mix,4.1892
calamari,6.3514
calculator,6.5526
calf1,3.0588
calf2,4.9412
calzone,6.3784
camcorder,6.3514
camel,2.1714
camera1,6.2368
camera2,6.4324
camera_lens,5.8205
camper,1.4474
can,6.5789
can_opener,6.3846
candelabra,5.85
candle,6.4054
candlestick,6.3
candy,6.697
candy_bar,6.8718
candy_cane,6.8611
cane,6.7222
canister,5.8421
cannon,1.7895
cannonball,2.4595
canoe,2.7105
cantaloupe,5.8649
canvas,6.0769
cap,6.7436
cape,6.3889
car,1.7105
car_door,3.9189
car_seat,2.9474
caramel,6.1579
card,6.8158
cardboard,6.1053
cardigan,6.6389
cardinal,3.4615
carousel,2.5405
carriage,1.9231
carrot,6.7568
cart,4.0278
cash_machine,2.0294
cash_register,3.8056
cashew,6.8378
casserole,5.4865
cassette,6.5128
cat,5.1795
catapult,2.1316
caterpillar,5.9118
catfish,3.3077
cauliflower,6.275
caviar,5.4359
cd_player,6.3939
celery,6.5526
cello,4.8947
cellphone,6.7297
cement_mixer,1.7632
centerpiece,4.8919
centrifuge,3.1622
cereal,5.973
chain,5.475
chainsaw,4.6053
chair,4.9459
chalice,5.6944
chalk,6.6842
chalkboard,2.7692
champagne,5.1389
chandelier,2.1842
chaps,6.1944
charcoal,5.9474
charger,6.6842
chariot,2.2973
checkbook,6.75
checkers,6.4324
cheese,6.1316
cheeseburger,6.5641
cheesecake,5.7297
cheetah,1.475
cherry,6.7949
chess_piece,6.6579
chessboard,6.0278
chest1,4.4444
chest2,3.2162
chick,5.7436
chicken1,4.8919
chicken2,5.5135
chicken_wire,4.1389
chickpea,6.6757
chihuahua,5.6316
chili,4.7568
chime,5.0286
chimney,1.4872
chin,5.5833
chinaware,6.025
chinchilla,5.2
chip,6.1795
chipmunk,4.5526
chips,6.6923
chisel,6.2821
chive,6.6667
chocolate,6.7222
chopsticks,6.1622
christmas_card,6.6923
christmas_tree,2.5294
chute,2.4722
cigar,6.7273
cigarette,6.6216
cigarette_butt,6.5278
cigarette_holder,6.6111
cilantro,6.5789
cinnamon,6.6667
clam,6.6216
clarinet,6.0278
clasp,6.325
clay,6.0
cleat,6.0
cleaver,6.3243
clipboard,6.6111
clipper1,6.1081
clipper2,6.7895
cloak,6.1622
clock,4.8421
closet,2.2778
clothes,6.6667
clothesline,5.5143
clothespin,6.5676
cloud,1.4595
clove,6.6571
clover,6.5526
coal,5.0278
coaster,6.6944
coat,6.3784
coat_rack,4.7692
cobra,2.2286
cockatoo,3.7692
cockroach,3.8947
cocktail,6.5263
coconut,6.2703
cocoon,6.1351
coffee,4.8571
coffee_bean,6.6
coffee_filter,6.6944
coffee_pot,6.3056
coffee_table,3.6216
coffeemaker,5.4
coffin,2.5641
coil,5.0278
coin,6.6053
coleslaw,5.3158
collar,6.4737
column,2.1944
comb,6.8889
combination_lock,6.4474
comic_book,6.6316
compass,6.6
compost,4.359
computer,3.6842
computer_screen,4.6757
confetti,5.641
contact_lens,5.7105
container,1.2778
cooker,5.3
cookie,6.6389
cookie_cutter,6.6389
cookie_sheet,6.3158
cooler,4.5526
coop,1.9444
copier,2.3056
coral,3.5135
cord,6.8108
cordon_bleu,6.0263
cork,6.6944
corkboard,5.6053
corkscrew,6.5278
corn,6.4474
cornbread,6.3158
cornhusk,6.4595
cornmeal,5.0541
cornucopia,4.3243
corsage,6.5526
corset,5.8333
costume,6.2973
cot,5.0789
cotton_candy,6.2703
couch,2.2432
cougar,1.4872
counter,2.0
coverall,6.2778
cow,1.675
coyote,2.4211
crab,3.5135
cracker,6.5429
cranberry,6.7429
crane,1.2105
crank,5.2632
crate,3.027
crayfish,5.2308
crayon,6.7368
cream,5.6757
cream_cheese,6.225
credit_card,6.775
creme_brulee,5.4615
crepe,6.4103
crib,3.0526
croissant,6.5135
cross,5.6944
crossbow,5.3889
crouton,6.6842
crow,3.5641
crowbar,5.8649
crown,5.7838
crucifix,3.6
cruise_ship,1.0811
crumb,5.9459
crutch,5.8718
crystal1,5.7838
crystal2,5.3235
crystal_ball,5.8684
cuckoo_clock,4.9474
cucumber,6.5385
cufflink,6.5641
cummerbund,6.4286
cup,6.6667
cupcake,6.65
curb,1.4595
curling_iron,6.1579
curry,4.6316
curtain,6.1944
cushion,6.4118
cutting_board,6.2162
cymbal,5.6053
dagger,5.95
daisy,6.5946
dalmatian,4.0571
dandelion,6.3158
dart,6.6316
dartboard,5.5526
dashboard,2.641
deer,1.8158
defibrillator,5.8462
denture,6.2105
deodorant,6.5946
desk,2.4324
dessert,6.1081
detonator,5.3158
dial,5.3947
diamond,6.3333
diaper,6.4872
dice,6.7949
dip,4.1389
dirt_bike,3.4103
dish,6.5526
dishrag,6.7692
dishwasher,2.2105
dishwashing_liquid,4.9211
diskette,6.6471
diving_board,3.8947
dog,5.0278
dogfood,5.7941
doghouse,2.8974
doily,6.5385
doll,6.6216
dollhouse,3.3333
dolly,4.3333
dolphin,2.1282
domino,6.6667
donkey,2.6667
donut,6.6471
door,4.7105
doorbell,3.3611
doorhandle,6.3333
doorknob,6.3421
doorknocker,5.6944
doormat,6.0
doorstop,6.5263
dough,5.7143
dragonfly,4.1143
drain,2.5278
drawer,4.3846
dreidel,6.6389
dress,6.3333
dresser,2.0
drill,5.8571
drink,6.2368
drum,4.6316
drumstick,6.8649
dryer,1.9211
duck,4.3158
duckling,5.8158
duct,2.6667
duct_tape,6.3421
duffel_bag,5.8947
dumbbell,4.1316
dumbwaiter,2.5429
dumpling,6.3611
dumpster,1.1944
duster,6.6486
dustpan,6.3514
dynamite,5.2105
eagle,2.5263
ear,5.2895
earplug,6.4615
earring,6.6
earwig,4.8889
easel,4.8421
easter_egg,6.6216
eclair,6.6
eel,2.5946
egg,6.6571
egg_roll,6.6316
eggbeater,6.5
eggnog,4.625
eggplant,6.4211
eggshell,6.5385
elbow,5.7368
electric_chair,2.3243
elephant,1.2432
emerald,6.1579
enchilada,5.641
engine,1.8462
envelope,6.8158
eraser,6.7895
espresso,5.7368
exerciser,5.5
exhaust_pipe,3.8611
extinguisher,5.1389
eye,3.0263
eye_patch,6.6389
eyedropper,6.6286
eyeliner,6.5278
eyepiece,6.5897
face,4.4474
face_mask,6.0789
fan,4.7568
fast_food,6.4
faucet,5.3158
feather,6.675
fence,3.3421
fencepost,4.1579
fern,5.8857
ferret,4.775
ferris_wheel,1.8611
ferry,1.5294
fig,6.5833
figurine,6.05
file1,6.8286
file2,6.3143
filing_cabinet,2.1081
film,6.4103
filter,6.0294
finger,6.4865
fingerprint,2.4054
fire,1.5
fire_alarm,4.6579
fire_hydrant,2.025
fire_pit,3.2821
firecracker,5.7778
fireplace,1.6216
firetruck,1.7059
firewood,5.1471
fireworks,4.3947
first-aid_kit,6.4737
fish,3.7297
fishbowl,5.1842
fishhook,6.1212
fishing_pole,6.2
fishnet_stockings,6.2
flag,6.2632
flagpole,3.2222
flamethrower,4.4211
flamingo,2.5294
flan,4.6316
flashbulb,5.9189
flashlight,6.5897
flask,6.7179
flatiron,6.5405
flip_flop,6.6562
flipper,6.3846
float,5.2051
floss,6.3611
flour,4.5135
flower,6.4474
flute,6.4474
fly,3.1316
flypaper,4.9737
flyswatter,6.5429
foam,6.1842
folder,6.7059
fondue,3.7632
food_processor,5.8158
foot,5.7
football,6.2857
football_helmet,6.15
footbath,2.9143
footprint,1.8649
footrest,5.2821
fork,6.6571
forklift,1.8
fossil,3.8571
fountain_pen,6.8286
fox,2.5526
frame,6.1579
freezer,1.5897
french_fries,6.8158
french_horn,5.2632
frisbee,6.8158
frog,4.1316
fruit,6.3158
fruitcake,6.2895
fudge,6.5
fungus,6.125
funnel,6.7027
fur_coat,5.8378
furnace,1.5405
fuse,6.4857
gallows,2.0256
game,5.9459
garbage,4.7692
garbage_truck,1.7429
gargoyle,1.9231
garlic,6.5429
garter,6.6316
gas_mask,6.1026
gasket,5.6842
gate,3.4865
gauge,5.6579
gauze,6.6486
gavel,6.5676
gazelle,1.973
gear,4.8974
gearshift,5.3333
gel,4.7027
gem,6.4118
generator,2.4737
gift,5.6579
ginger,6.5385
gingerbread_man,6.6389
giraffe,1.5405
girl,4.6154
glass,6.7632
glasses,6.7297
globe,5.2222
glove,6.8205
glue,5.6944
go-kart,2.0263
goalpost,1.925
goat,2.7838
goblet,6.375
goggles,6.7714
gold,5.75
goldfish,3.5789
golf_cart,1.9474
golf_club,6.2812
gondola,2.2368
gong,3.4615
goose,3.425
gopher,3.7105
gorilla,1.8158
gourd,5.4865
graffiti,1.5946
grain,6.2308
gramophone,3.6286
granite,2.9487
granola,6.2703
grape,6.7027
grapefruit,6.2973
grapevine,4.8974
grass,5.9167
grasshopper,4.1111
grate,3.4359
grater,6.1622
gravel,5.75
gravestone,2.2703
gravy,2.8919
green_beans,6.6
grenade,5.8421
grill,3.4722
grille,3.35
grinder,5.1579
grits,4.5429
groundhog,3.4722
guacamole,5.5556
guardrail,2.7632
guillotine,2.1053
guinea_pig,5.5429
guitar,6.0513
gum,6.6667
gumball,6.6923
gumdrop,6.8611
gun,6.0263
gurney,3.5385
gutter,3.8056
gyro,6.3846
gyroscope,6.2051
hail,5.4865
hair,5.8
hairbrush,6.675
hairdryer,6.6316
hairnet,6.7222
hairpin,6.6579
hairspray,5.2778
ham,5.4737
hamburger,6.6053
hammer,6.3611
hammock,4.9189
hamster,5.6316
hand,6.5789
handbrake,6.1081
handcuff,6.4857
handkerchief,6.8947
handle,6.359
handlebar,6.1143
handprint,2.2162
hanger,6.4054
hard_disk,5.9189
harmonica,6.6667
harness,6.0263
harp,3.5714
hash,5.1053
hat,6.5833
hatbox,6.3429
hatchet,5.9211
hawk,2.9143
hay,5.3947
headband,6.7632
headdress,5.5789
headlamp,6.4595
headlight,4.2424
headphones,6.6389
headrest,5.2368
headscarf,6.6579
headset,6.6667
hearing_aid,6.6486
hearse,1.6216
heater,4.1026
hedge,2.75
hedgehog,3.641
helicopter,1.4872
helmet,6.3846
highchair,5.0
highlighter,6.7895
hinge,5.7179
hip,4.875
hippopotamus,1.2703
hobbyhorse,6.359
hockey_stick,6.4211
hoe,6.3784
hole,1.2857
holster,6.275
home_plate,3.4167
honey,4.2432
honeycomb,4.4444
honeypot,5.8684
hood,6.2353
hoodie,6.2703
hook1,6.0
hook2,5.5135
hookah,5.5946
hopscotch,1.7143
horn,6.0588
horse,2.5263
horseshoe,6.1316
hose,5.8649
hot-air_balloon,1.8
hot-water_bottle,5.9394
hot_chocolate,4.9189
hot_tub,1.973
hotdog,6.7692
hotplate,5.2286
hourglass,5.9167
hovercraft,1.4737
hubcap,5.8421
hula_hoop,6.5556
hummingbird,3.4865
hummus,5.3333
humvee,1.6316
hydrant,2.4
hyena,1.8333
ice,3.8684
ice-cream_cone,6.5676
ice_cream,5.4324
ice_cube,5.1579
ice_pack,6.0263
icemaker,3.5278
icepick,6.7143
iceskate,5.7895
icicle,4.8205
iguana,3.5641
incense,6.3243
incubator,4.0
inhaler,6.7105
ink,3.8649
inkwell,6.1892
insole,6.3056
iron,6.5
ironing_board,4.9444
ivy,6.027
jack,4.3514
jacket,6.4615
jackhammer,3.5152
jalapeno,6.4737
jam,5.1316
jar,6.2432
javelin,5.6486
jeans,6.5
jeep,1.9737
jelly_bean,6.6389
jellyfish,2.6111
jersey,6.6216
jet,1.2973
jetski,2.6923
jewel,6.5833
jewelry,6.5526
jigsaw_puzzle,4.5429
joystick,6.5897
jug,5.5897
juice,4.027
juicer1,6.4118
juicer2,5.1538
jukebox,1.9189
jump_rope,6.5385
jumpsuit,6.2432
kale,6.5405
kaleidoscope,6.0541
kangaroo,1.8421
kayak,3.1714
kazoo,6.6667
kebab,6.3514
keg,2.75
ketchup,5.1579
kettle,6.5278
key,6.8421
keyboard,4.0278
keyhole,2.2571
kilt,6.2571
kimono,5.9722
kite,6.027
kitten,5.975
kiwi,6.6842
knee,5.6111
kneepad,6.5405
knife,6.5278
knitting,5.7143
knitting_needle,6.3514
knob,6.4211
knot,5.65
koala,3.9189
lab_coat,6.575
ladder,4.5455
ladle,6.5143
ladybug,5.9167
lamb,3.4865
lamb_chop,5.8421
lamp,5.7895
lamppost,3.3684
lampshade,6.175
landmine,4.0909
lantern,6.2
lanyard,6.6486
laptop,6.3429
lasagna,5.2162
laser_pointer,6.6857
latch,5.8919
latte,5.973
laundry_basket,6.2162
lava,1.0263
lavender,6.3784
lawnmower,3.2973
leaf,6.7568
leash,6.7222
lectern,3.4571
leech,4.8947
leek,6.6176
leg,5.55
leggings,6.6579
lego,6.7179
lemon,6.575
lemonade,4.4737
lens,6.4324
leopard,1.5
leotard,6.6667
letter_opener,6.7632
lettuce,6.375
license_plate,6.2632
licorice,6.2703
lid,6.641
life_jacket,6.3158
lifesaver,6.2778
light_switch,4.4615
lightbulb,6.5135
lighter,6.725
lightning_bug,5.0
lime,6.8421
limousine,1.7632
lingerie,6.5676
lion,1.2571
lip_balm,6.7059
lip_gloss,6.5429
lipstick,6.675
lizard,4.4444
llama,1.9444
lobster,4.1026
lock,5.4595
locker,2.7941
locket,6.7838
log,3.0256
loincloth,6.2857
lollipop,6.7143
loom,3.2162
loveseat,2.2059
luggage,4.7949
lumber,4.0
lunchbox,6.5385
macadamia,6.7838
macaroni,6.3077
machete,5.8378
machine_gun,4.0
maggot,5.7368
magnet,6.1579
magnifier,5.8718
magnifying_glass,6.6667
mail,6.5278
mailbox,3.9444
makeup,6.0857
mallet,6.0256
man,3.973
manatee,1.8718
mandolin,5.9474
mango,6.6857
manhole,2.5833
mannequin,4.45
mantle,2.5882
map,5.8718
maple_syrup,4.8056
marble,6.7297
margarita,6.2222
marijuana,6.2286
marker,6.8056
marmalade,5.1053
marshmallow,6.6667
mascara,6.4359
mashed_potato,5.0811
mask,6.5556
mast,2.0541
mat,6.0811
match,6.5789
matchbox,6.8649
mattress,2.7838
measuring_cup,6.5
meat,5.7714
meat_grinder,4.5946
meatball,6.5
meatloaf,6.0526
medal,6.4615
meerkat,3.2564
megaphone,6.1795
melon,6.0263
memory_stick,6.6842
metal_detector,6.0556
metronome,5.7568
microphone,6.7368
microscope,5.1351
microwave,3.4595
milk,3.9189
milkshake,6.0263
minivan,1.6154
mint,6.3784
mirror,4.6944
missile,1.5135
mistletoe,6.3514
mitten,6.8571
mixer,4.6486
moccasin,6.6316
modem,6.1053
mold1,5.8462
mold2,4.4444
mole,3.775
money,6.6579
mongoose,2.8108
monkey,3.5833
moose,1.5946
mop,6.3846
mosquito,3.4211
mosquito_net,5.7714
moss,4.9167
moth,4.2973
motherboard,5.6667
motorcycle,2.9737
mouse1,4.5789
mouse2,6.5
mousepad,6.7105
mousetrap,5.4167
mousse,5.3684
mouth,3.6316
mouthpiece,6.55
mud,4.1579
muff,6.5278
muffin,6.7949
mug,6.8718
mulberry,6.7105
mulch,5.6757
mullet,4.3684
mushroom,6.4857
music_box,6.0541
mussel,6.3684
mustache,4.1538
mustard,5.0541
nacho,6.3243
nail,6.5
nail_clippers,6.5526
nail_file,6.5152
nail_polish,6.359
napkin,6.8462
napkin_ring,6.8056
navel,2.7838
neck,4.9737
necklace,6.5278
needle,6.6053
nest,5.4167
net,5.1212
nightshirt,6.7353
nightstand,2.4359
noisemaker,6.8056
noodle,5.7949
noose,6.2703
nose,5.4737
notebook,6.6579
notepad,6.5789
nut,6.6053
nutcracker,6.6316
oar,5.4324
oatmeal,5.15
octopus,2.6923
odometer,3.3514
oil,3.0513
oilcan,6.1351
okra,6.5789
olive,6.5641
omelet,5.5
onion,6.6111
orange,6.6286
orange_rind,6.5641
orangutan,2.5385
orchid,6.3243
organ,1.7143
origami,6.3158
ostrich,1.6486
otter,3.3077
ottoman,3.4167
outfit,6.1538
outlet,3.5294
oven,1.9189
overalls,6.3056
owl,2.8857
oyster,6.4
pacifier,6.8387
paddle,6.1842
padlock,6.0
paint,4.1081
paintbrush,6.5429
painting,5.2432
pajamas,6.5714
palette,6.3611
pallet,2.4737
palm_tree,2.0789
pan,6.25
pancake,6.5263
panda,2.0513
panther,1.4615
panties,6.8333
pants,6.7368
pantsuit,6.1944
pantyhose,6.4167
papaya,6.2432
paper,6.7436
paper_bag,6.7143
paper_plate,6.5135
paper_towel,6.75
paperclip,6.6857
paperweight,5.6579
parachute,4.2162
parfait,6.0513
parking_meter,3.1714
parrot,4.1053
parsley,6.6667
pasta,5.6486
pastry,6.6389
patch,6.5405
patty,6.3947
payphone,4.1944
pea,6.6389
peach,6.6053
peacock,2.6667
peanut,6.8718
peanut_butter,4.8
pear,6.5128
pearl,6.8333
pecan,6.7429
pedal,5.4737
pedometer,6.7778
peeler,6.5714
peg,6.8718
pelican,2.4865
pen,6.8857
pencil,6.75
pencil_sharpener,6.8571
pendulum,5.3158
penguin,3.2432
penholder,6.1026
penlight,6.7105
pennant,6.4412
pepper1,6.425
pepper2,5.8529
pepper_mill,6.5
peppermint,6.6316
pepperoni,6.5135
perfume,6.0789
periscope,4.2162
pesto,5.6111
pet_food,5.8205
petal,6.7436
petri_dish,6.641
pheasant,3.65
phone,6.8125
phone_booth,1.8158
photo_booth,2.3611
photograph,6.8421
piano,1.9231
pickax,5.2432
pickle,6.5526
pie,6.0789
piecrust,6.1795
pig,2.7105
pigeon,3.7949
piggy_bank,5.6842
piglet,4.5833
pill,6.7105
pillbox,6.6216
pillow,6.5556
pin,6.3056
pinball,3.3846
pincushion,6.4706
pine_needle,6.075
pine_tree,2.7027
pineapple,5.6216
pinecone,6.4359
ping-pong_table,2.8974
pinwheel,6.4737
pipe1,6.2162
pipe2,4.7778
pistachio,6.6944
pita,6.5128
pitcher,6.2162
pitchfork,5.8611
pizza,6.1
place_mat,6.5405
plant,5.3514
plaster_cast,4.6053
plastic_film,6.2432
plate,6.6486
platypus,3.1622
playing_card,6.7714
playpen,3.2564
pliers,6.4474
plug,6.4737
plum,6.5641
plunger,6.5946
pocket,4.5833
pocket_watch,6.7027
pocketknife,6.1667
pogo_stick,6.0541
poinsettia,6.0
poker,6.3846
polar_bear,1.4571
polaroid,6.5128
pole,3.8974
police_car,1.8462
polisher,5.4474
polo_shirt,6.5405
polygraph,3.9189
pom-pom,6.85
pomegranate,6.6571
pony,2.5
poodle,4.7568
pool_table,1.8974
popcorn,6.5556
poppy,6.5556
popsicle,6.7105
porcupine,1.5135
porthole,2.1143
possum,3.3846
poster,6.3429
pot,6.2703
potato,6.5676
potholder,6.6216
pothole,1.4242
potpie,5.5
potpourri,5.9459
powder,4.6842
power_line,1.6486
praying_mantis,4.9189
pretzel,6.6154
printer,4.2105
prism,5.5556
projector,4.975
propeller,2.8649
prune,6.6579
puck,6.4103
pudding,4.2051
puddle,1.1714
puffin,3.359
pug,5.9459
pulley,5.5641
pulpit,1.9211
pump,3.5641
pumpkin,4.9459
punch1,4.2105
punch2,6.75
punching_bag,2.9730000000000003
puppet,6.2895
puppy,5.4571
purse,6.6667
quad,2.0811
quesadilla,6.3784
quiche,6.1351
quill,6.6154
quilt,5.8286
rabbit,4.5
raccoon,2.5676
racehorse,2.325
rack1,4.6486
rack2,2.875
racket,6.6765
radar,2.4375
radiator,2.5882
radio,5.7436
radish,6.4737
raft,3.325
rag,6.7838
railing,5.8889
rain_gauge,6.0526
raincoat,6.6389
raisin,6.6757
rake,6.5405
ram,2.2821
ramp,2.5
raspberry,6.7436
rat,3.4359
ratchet,6.3846
rattle,6.7778
rattlesnake,2.5897
ravioli,6.1579
razor,6.359
razor_blade,4.9211
ready_meal,6.5263
rearview_mirror,6.0263
recliner,2.1282
record,6.4737
record_player,4.9167
recorder,6.5676
red_carpet,3.4359
reel,5.8611
refrigerator,1.7895
reindeer,2.2368
remote_control,6.8889
retainer,6.6061
revolver,6.0256
revolving_door,2.8158
rhinoceros,1.2
rhubarb,6.3784
ribbon,6.6316
rice,6.1026
rickshaw,3.3421
rifle,5.4474
rim,5.0
ring,6.8108
riser,2.0789
road_sign,3.6486
roadsweeper,1.359
robe,6.3684
robot,4.4
rock,3.1714
rocket,1.3514
rocking_chair,3.8
rocking_horse,3.7949
roll,6.6757
roller,4.027
roller_coaster,1.2632
rollerblade,5.7568
rollerskate,6.0556
rolling_pin,6.3333
roof_rack,3.7568
rooster,3.8462
root,3.5
rope,5.825
rosary,6.4722
rose,6.2308
roulette_wheel,3.4722
router,6.1892
rubber_band,6.6923
ruby,6.3947
rudder,4.1081
rug,4.2564
ruler,6.7895
rust,2.6579
saddle,4.3421
safety_pin,6.7368
saffron,5.8974
sail,2.8947
sailboat,1.5
salad,5.5263
salami,6.0278
saltshaker,6.5789
sand,4.5526
sandal,6.4545
sandbag,3.2051
sandbox,2.0
sandcastle,1.5833
sandpaper,6.2051
sandwich,6.425
sarcophagus,2.1143
sardine,5.2778
satellite,1.4211
satellite_dish,2.4286
sauce,5.5556
saucer,6.3158
sauerkraut,5.8889
sausage,6.3333
saw,6.1538
sawhorse,4.075
saxophone,5.475
scaffold,2.4865
scaffolding,2.6053
scale,5.1351
scallion,6.8286
scallop,5.9118
scalpel,6.4571
scanner,4.3784
scarecrow,5.1
scarf,6.7949
school_bus,1.3243
scissors,6.5278
scone,6.5897
scoop,6.5946
scooter,5.3143
scoreboard,1.5429
scorpion,3.0278
scrabble,6.2973
scrambled_egg,5.0811
scraper,6.6579
screen1,3.5526
screen2,5.4359
screw,6.5135
screwdriver,6.5385
scuba,4.7838
sea_urchin,2.225
seafood,5.8378
seagull,3.225
seahorse,3.975
seal,2.2059
seaplane,1.4324
seatbelt,6.3714
seaweed,5.4211
seed,6.6111
seesaw,3.3158
seismograph,2.7692
sequin,6.4615
sewage,2.4103
sewing_kit,6.4412
sewing_machine,4.3333
shaker,6.3077
shark,1.375
shaving_cream,5.825
shawl,6.3684
shears,5.8333
sheath,6.4737
sheep,2.7027
sheet,6.3158
shelf,3.0571
shell1,6.5946
shell2,6.7027
shell3,6.3889
shield,5.1892
ship,1.5405
shirt,6.7368
shoe,6.4
shoe_polish,6.1667
shoehorn,6.5
shoelace,6.6579
shopping_basket,6.3421
shopping_cart,4.1282
shortbread,6.6667
shorts,6.5
shoulder,5.2051
shovel,6.0513
shower,1.9429
shower_cap,6.8684
shower_curtain,6.0789
showerhead,5.6154
shredder,4.2162
shrimp,5.7838
shuffleboard,2.3333
shutter,4.3429
sickle,5.9459
sidecar,2.4
sifter,6.6765
silicone,5.9211
silverware,6.7179
sim_card,6.2105
sink,2.6216
siren,3.5
skateboard,6.2051
skeleton,3.6389
skewer,6.5405
ski,5.2162
ski_boots,5.7778
ski_lift,2.4103
ski_pole,6.2703
skin,4.5405
skirt,6.6154
skull,5.4722
skunk,3.1053
sled,4.6154
sledgehammer,4.5676
sleeping_bag,5.9167
slicer,4.05
slide,2.359
slime,4.3947
sling,6.4211
slingshot,6.4211
slipper,6.6944
slot,2.5789
slot_machine,2.3056
sloth,3.7838
slug,5.1026
smoke_alarm,5.9231
smoothie,5.7027
snack,6.4359
snail,6.1579
snake,3.1026
snorkel,6.2368
snow,5.4474
snowball,6.2105
snowboard,5.5789
snowman,2.4054
snowmobile,2.2105
snowplow,2.3235
snowshoe,5.7105
snowsuit,6.2308
soap,5.4103
soccer_ball,6.3333
sock,6.8158
soda,4.8718
soda_fountain,1.8649
sofa_bed,2.0789
solar_panel,2.9211
soldering_iron,6.0556
sombrero,6.4359
sonogram,5.0526
sorbet,5.2632
souffle,5.8205
soup,3.8056
soy_sauce,5.0263
space_shuttle,1.1842
